"Government revenue, percent of GDP (% of GDP)",Country code,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Cabo Verde,CPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.27691562,33.37799716,27.70836883,24.61080605,26.68462599,24.08767091,21.15746003,19.12689492,22.39156564,19.78144204,23.29415475,21.53239856,24.08445699,26.19692321,26.18558576,25.30937899,26.11116693,23.36658811,22.21708008,22.37710155,20.83543153,24.53994062,23.91918042,25.34860667,25.17509713,25.88939246,25.24781551,23.2811088,22.34863556,25.42391726,25.02882128
Cambodia,KHM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.123767494,8.647392061,8.042632977,9.977848292,10.11816316,9.596876652,9.992188343,8.843053153,9.347907429,10.64018858,11.13334375,12.90636138,13.507458,12.99394216,13.92847387,12.72319645,13.52494182,14.41522891,15.21300379,13.81938929,14.93937323,15.41785252,16.35162347,19.77463361,17.77794072,15.81113628,18.42779788,16.2412612,14.58163781
Canada,CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.070569992,5.015749931,4.694839954,5.022550106,5.066939831,4.994470119,5.430399895,5.152979851,6.591800213,5.257249832,6.141079903,6.189559937,5.94603014,5.36386013,5.707449913,6.041480064,6.384880066,5.874650002,6.155799866,6.084169865,5.631750107,5.245200157,5.454800129,5.334119797,5.219530106,5.778339863,5.898880005,5.64854002,6.069660187,6.174330235,5.785759926,5.854450226,6.18971014,6.00067997,5.904789925,5.883220196,4.456389904,5.554910183,5.169909954,5.52684021,5.828559875,6.094389915,6.764500141,6.155010223,5.431670189,6.401100159,7.176119804,6.533229828,7.342480183,8.007049561,8.632849693,9.696109772,9.674300194,8.952210426,7.830719948,7.672599792,7.794400215,7.746809959,7.629749775,7.379049778,6.253499985,7.127639771,8.172519684,9.295530319,9.118169785,8.663100243,9.799309731,9.858810425,9.523900032,10,12.99120045,17.97270012,21.91430092,25.01580048,22.68149948,25.39999962,25.3083992,21.31450081,17.8696003,15.35770035,16.08589935,17.66049957,17.12459946,16.46269989,15.36200047,14.86839962,15.34039974,14.47840023,13.16819954,13.80389977,14.07569981,27.88479996,28.03759956,27.96859932,28.98629951,29.56850052,30.68589973,32.04249954,33.3451004,35.13990021,35.66910172,36.27999878,36.55619812,36.59780121,38.68460083,37.57260132,37.417099,37.33349991,36.8429985,36.62599945,37.48720169,39.63729858,40.23040009,39.71720123,39.75830078,39.71429825,40.4394989,40.63750076,41.02320099,41.2417984,42.9756012,43.9095993,44.21450043,43.51319885,43.0326004,43.1507988,43.78699875,44.46239853,44.88270187,44.29800034,44.05310059,41.63163813,40.15995724,40.14873118,39.90234561,40.07372027,40.48839907,40.33870394,38.95980848,39.53939773,38.32638675,38.26651026,38.40168651,38.46603517,38.54537926,39.95657244,40.30006887,40.34296269,41.0222416,40.57235528,41.41327712,42.41353283,41.18932703,42.16752278,42.70134288
Central African Republic,CAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.71063555,16.36651543,15.4108056,14.63697219,15.76495536,14.96266978,14.77833448,15.72882506,10.65281207,12.89497109,18.05127009,17.69968101,15.15545058,13.26548847,15.47274666,9.231105543,11.33778047,11.81289372,21.95364753,13.9154586,14.79581683,15.45521581,15.91237969,12.00900588,13.96633521,11.09538856,13.63525306,12.15985724,12.25140713,12.06294961,15.91449699,17.09119211,20.95034725,13.40005529,12.12760961,14.03010376,14.46138641
Chad,TCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.173844104,9.128356387,9.426423506,8.415160623,8.819224038,9.354884239,8.452290183,9.70315412,10.59573602,7.996181383,8.820399099,12.39366911,15.6572169,17.46339794,11.30697835,15.36558878,18.08178791,16.90517244,15.08901132,13.70305341,10.49594406,9.697817182,11.13649387,11.12098276,10.51424498,15.32046241,11.68849188,16.40312793,15.83771885,16.7056083
Chile,CHL,,,,,,,,,,,7.400000095,7,6.460000038,5.860000134,5.25,4.690000057,4.210000038,3.829999924,4.309999943,3.00999999,3.49000001,2.849999905,4.400000095,4.260000229,3.170000076,3.660000086,3.670000076,3.920000076,3.640000105,3.859999895,3.440000057,3.170000076,3.50999999,3.789999962,3.950000048,4.139999866,3.75999999,4.429999828,3.779999971,3.680000067,4.289999962,4.159999847,4.960000038,5.28000021,5.340000153,4.909999847,5.119999886,4.739999771,5.190000057,5.96999979,5.980000019,6.010000229,6.929999828,6.019999981,5.889999866,5.690000057,5.78000021,5.28000021,5.340000153,5.260000229,5.449999809,4.449999809,4.480000019,4.550000191,4.349999905,5.239999771,4.039999962,6.079999924,6.03000021,6.739999771,6.190000057,5.320000172,5.519999981,5.360000134,5.510000229,5.550000191,5.429999828,4.449999809,4.46999979,4.090000153,6.420000076,7.309999943,8.239999771,8.729999542,8.300000191,6.920000076,6.789999962,8.319999695,9.520000458,10.21000004,10.56000042,7,9.270000458,7.21999979,9.180000305,9.56000042,10.18000031,9.43999958,8.199999809,10.52000046,9.739999771,9.449999809,9.06000042,10.39000034,11.01000023,10.73999977,11.72000027,12.02000046,10.68999958,9.649999619,9.640000343,9.909999847,11.56999969,10.09000015,9.220000267,7.920000076,8.890000343,7.329999924,7.5,4.789999962,6.960000038,10.43000031,10.52999973,12.40999985,13.32999992,13.11999989,10.81000042,13.03999996,15.86999989,12.89000034,15.35999966,13.81999969,9.329999924,13.52999973,12.85999966,17.21999931,15.19999981,12.90999985,14.47000027,15.48999977,15.06999969,16.03000069,14.21000004,16.70000076,14.84000015,15.59000015,13.81999969,16.26000023,17.73999977,15.5,14.01000023,14.84000015,16.29999924,13.52999973,12.88000011,14.31999969,15.25,16.07999992,16.88999939,22.40999985,16.59000015,16.62000084,16.94000053,15.64000034,15.52000046,18.85000038,18.63999939,18.5,18.52000046,19.29000092,19.87000084,19.23999977,22.22999954,23.44000053,26.55999947,33.16999817,29.54999924,28.89999962,29.27000046,29.56999969,29.25,28.94000053,29.10000038,26.56999969,27.04000092,26.22999954,25.72999954,25.28000069,25.40999985,25.06999969,22.09000015,22.11000061,22.12999916,21.47999954,21.94000053,22.37000084,22.70569496,22.62066895,22.29554652,21.67459471,22.17717055,22.6866391,22.03086058,21.80279935,22.86648661,24.81712434,26.23924343,27.26148307,25.72156745,20.71672406,23.10375484,24.31288014,23.77178989,22.64292828,22.35624148,22.93943628,22.70603676,22.86508948,24.13343991,23.76662321,21.99304272,26.09030746,28.08508566,25.12269792,23.91230606
"China, People's Republic of",CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.52470016,26.73310089,25.45759964,25.32159996,23.80489922,21.36230087,18.63349915,17.65034888,17.45438761,15.496555,13.43267178,12.5433034,10.69114095,10.13238884,10.25587104,10.78210431,11.51984314,12.55470705,13.25937445,14.64931925,15.36289267,15.60770522,16.11539556,16.60802041,16.93002369,17.9248324,22.13278932,23.50103222,24.30871729,26.55089186,27.39709697,27.2808552,27.74005013,28.51166115,28.36564261,28.67533251,28.44043099,27.60451309,25.275126,26.00920419,25.32252553,26.02567198,25.60186883
Colombia,COL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,6.800000191,7.800000191,6.5,5.199999809,5.599999905,5.199999809,4.699999809,6.099999905,5.099999905,3.900000095,6.5,4,3,3.200000048,4.800000191,3.099999905,4,5.5,4.900000095,5.599999905,5.400000095,5.800000191,5.800000191,6.300000191,5.199999809,5.800000191,5.300000191,6,5,5.400000095,5.699999809,6.5,5.400000095,5.400000095,4.599999905,5.199999809,4.5,4.5,4.300000191,4.599999905,4.699999809,6,5.400000095,5.5,6.5,7.300000191,7.199999809,7.699999809,8,10.69999981,7.5,7.300000191,7.800000191,8,7.900000095,7.099999905,6.199999809,6.900000095,7,6.400000095,8.100000381,8,8.899999619,8.699999809,9.300000191,9.300000191,8.600000381,8.300000191,7.599999905,8.899999619,8.600000381,8.199999809,8.399999619,7.900000095,7.400000095,7.099999905,7,7.099999905,7,8.100000381,8.399999619,9.300000191,9,8.899999619,8.699999809,10.19999981,10.60000038,11.30000019,11.39999962,11.30000019,11.80000019,12.39999962,11.80000019,12.30000019,23.64223238,24.79800521,24.62174141,25.31184614,25.32033998,25.86855996,27.44851267,27.34245623,28.47061048,28.24016968,27.04745243,28.24038787,29.24738099,28.9776188,29.51712685,27.75712783,27.71966849,26.82500132,29.9902423,29.39711188,26.58813609,27.2165202,27.74750812,32.19946758,28.40047623
Comoros,COM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.59853276,19.74356613,20.74231247,19.31010778,17.50959463,18.35173453,19.22537218,17.67778232,18.36289481,17.54565015,18.08000844,14.24837523,12.08305019,13.22901828,11.06160808,10.99599801,8.602334035,10.85967739,12.1110327,10.7144888,10.73359471,11.39578161,10.94786352,11.88441569,13.66449224,14.02163704,17.47120151,14.07838815,16.82151029,25.31518186,14.19978821,21.65714035,13.38554551,18.75172243,17.82058956,15.84420098,18.25076709,17.13784626,14.50210724,16.51650186,16.22317262
"Congo, Dem. Rep. of the",COD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.611276342,1.456343585,1.236286004,0.79912925,0.636877257,3.02952201,5.062263418,4.944074002,7.017374525,8.886480031,9.439214071,9.191204105,9.654504967,13.30037968,14.40287751,12.74862347,15.11833036,15.221017,17.41541445,14.69151306,13.3987311,10.59862613,10.55534721,10.80850828,8.955797871,12.15642969,17.2757645,14.81729752,15.24792437
"Congo, Republic of ",COG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.06914686,26.33377093,22.88491003,20.08205629,21.53741398,20.08093161,21.20097242,24.91409004,25.86475005,19.907566,24.00639307,23.69168641,28.37254036,24.79313366,27.37852962,27.71470603,35.52779322,42.58771088,37.56809913,48.06263938,29.18910826,38.51445355,43.93786381,37.89273798,39.5423581,37.83012641,23.4830346,24.26436511,21.02869326,23.008464,24.4565953,20.00358605,22.56451182,31.78056923,26.48032515,25.26672668
Costa Rica,CRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.71380043,12.2840004,11.90880013,12.54199982,12.30340004,12.47869968,11.95790005,11.33080006,12.01220036,12.0539999,12.16650009,11.69620037,12.12790012,12.9343996,13.5326004,12.75039959,12.67059994,15.94099998,18.53089905,18.01280022,17.64389992,16.68359947,19.05990028,18.26549911,17.80690002,17.86059952,17.46249962,21.74150085,22.3185997,20.71529961,22.14279938,24.63669968,25.0753994,24.53549957,23.0848999,18.53079987,19.52799988,20.28019905,11.5302,12.04819965,12.2968998,12.18150043,12.25580025,12.12989998,13.18632197,13.80951144,13.55823884,14.13498947,13.59099352,13.797447,14.10753034,15.15366606,15.3620488,13.40772716,13.08598993,13.27014951,13.12790294,13.27318211,12.94649602,13.23686607,13.66178923,13.2777532,13.23489282,15.00221648,13.91240637,15.6874365,16.38288164,15.26209654,15.08687833
Croatia,HRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.40871224,33.27790645,44.53979616,46.04748014,47.66827321,46.72078581,50.43844381,47.81391576,45.35758992,45.82605319,44.28086791,44.61474279,42.91184778,43.23364383,42.55804532,44.04257286,43.92297945,42.07058613,41.66501843,41.0438612,41.8090284,42.37651445,43.48725263,44.00722179,44.81952532,44.85603989,45.13817339,46.60377015,46.42554533,45.53790255,45.0731325,45.97225247,46.04565118
Cyprus,CYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.70318951,29.48806316,29.39427234,30.53081228,30.2663488,32.73022435,33.60807224,33.29095486,34.47875877,34.92609913,37.46449606,38.085625,40.79205094,39.08393654,36.45544406,37.01178248,36.42475149,36.34293218,36.93841012,43.26309287,42.24643335,40.08215129,40.56389201,40.8899568,41.2848114,40.36292125,40.98840719,40.63920102,43.65507339,44.26040509
Czech Republic,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.54849772,38.45055516,38.19835625,37.49232324,37.80441279,37.04621411,37.34460216,38.09062491,42.07554222,39.80157894,39.27136229,39.28206825,39.79140851,38.92334586,39.00010265,39.05221287,40.1274859,40.45060371,41.08362871,40.21486111,41.03127103,40.05932237,39.92768196,40.99687843,40.65524297,40.6029321,40.07329073,39.9201716,39.95452798,40.75783809
Côte d'Ivoire,CIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4229979,13.86802079,12.39999051,12.04681182,12.13820507,12.46060307,11.41351461,12.47023781,12.57144892,13.42694791,14.45378332,14.3795318,13.38398474,13.12846972,10.30784838,13.86528206,14.23629798,13.64537989,14.46045623,14.60218865,14.83497433,14.65591171,14.97805807,14.95062011,15.59532788,15.10978372,16.09154465,16.40876362
Denmark,DNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.166669846,6.364719868,6.317649841,6.509220123,6.805719852,6.573170185,6.703299999,6.565899849,6.658740044,6.434979916,5.896369934,5.674600124,5.562190056,5.800000191,5.939390182,6.11164999,6.156750202,6.298999786,6.153850079,5.776500225,5.121029854,4.87609005,5.487110138,5.444600105,6.599050045,5.661099911,6.576519966,5.669929981,5.267910004,4.485779762,4.729450226,4.939050198,5.724870205,5.445459843,4.824039936,4.918600082,6.424210072,9.367970467,9.693659782,10.20440006,6.746890068,6.752520084,7.898630142,6.46765995,6.888519764,7.828700066,8.100919724,7.243330002,8.046719551,6.523610115,6.925499916,7.21736002,7.138110161,14.60949993,11.33899975,8.023509979,7.355750084,9.330630302,8.513440132,10.27190018,12.19029999,15.81019974,16.59799957,16.89979935,9.446209908,7.041429996,12.84459972,12.39260006,12.25990009,11.58199978,11.125,11.0085001,11.3760004,12.43400002,16.22100067,15.67420006,16.35619926,16.29170036,17.35589981,17.06679916,17.66670036,17.3560009,16.9428997,19.39439964,19.41080093,19.26939964,22.13920021,23.65200043,24.20050049,25.62000084,25.08839989,47.12659836,47.15779877,44.47069931,47.31900024,44.06600189,45.1609993,46.01530075,47.57870102,48.89009857,50.3465004,50.48040009,49.51330185,51.63270187,53.0644989,54.13779831,55.5530014,56.44469833,57.59579849,56.50590134,54.10520172,53.09640121,54.4856987,56.3429985,56.81269836,56.36410141,56.88040161,56.07690048,56.23500061,56.7757988,55.83580017,55.37049866,54.82350159,54.97930145,56.44340134,57.80789948,56.62739944,55.60469818,55.16770172,55.60680008,55.69749832,54.52461737,54.70316513,54.63644555,56.52974202,53.52309076,52.6540539,52.29036134,51.56475787,54.09029287,53.70215637,53.82644149,48.47835178,50.82830242,51.78815106
Djibouti,DJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.93360982,26.81952438,28.73169163,28.21035387,25.95388639,21.86551366,21.89796751,22.13542156,20.41591748,18.32555473,19.23130903,17.35174302,18.8285037,21.71095961,23.02708883,25.03377001,24.11117018,24.68955608,29.44903692,27.1211582,25.5849605,24.09332038,24.43476474,26.47657841,22.06743122,26.41962381,25.11495451,23.65405288,23.93516511,23.9293375,23.2181226,20.06994472,19.47955256,18.05461646,18.02388193
Dominica,DMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.81982634,25.96876892,25.14515224,23.76630919,23.83465512,25.87375768,26.86773376,25.910467,27.05157123,26.02560504,29.85657216,23.0764442,24.54043422,30.95614516,29.57578007,31.90440928,32.61902737,35.86220479,35.44064713,35.59939134,36.04459679,30.81521257,30.75798437,30.55930075,27.16273564,43.77249924,59.62812146,50.71366303,46.24653222,39.56184624,59.22971225,58.77162293,62.7780564,60.13669442,56.59717621
Dominican Republic,DOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.12280083,18.53610039,15.86209965,22.83239937,20.43959999,22.99650002,21.64299965,21.66670036,20.64340019,21.83909988,19.50819969,16.95969963,14.50199986,14.73600006,15.32520008,10.91800022,13.08860016,13.34430027,14.48379993,14.4677,12.62549973,12.92619991,12.37069988,13.21459961,13.68540001,15.07120037,12.28559971,11.53610039,11.45750046,10.48929977,11.01249981,10.19849968,7.769609928,8.456190109,8.374440193,8.52974987,9.832579613,10.45829964,11.0692997,11.25269985,9.491930008,8.757470131,12.79300022,12.86699963,11.74909973,11.79529953,11.51290035,12.6552,12.38910007,12.65009975,13.23400021,14.16308827,14.19784519,12.9817991,13.73404556,14.78636623,15.26303414,16.60199397,15.06136259,13.26049745,13.09234267,12.91960284,13.5592857,14.10180319,14.28232184,16.69462429,13.89906674,14.14059657,14.28486326,14.36300683,14.24051331,15.49866962,15.2733681,15.84549239,16.37837181
Ecuador,ECU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.92806379,19.29538016,19.13803458,16.43237947,19.30369059,23.93913986,21.42341253,23.51160663,22.31615195,23.2319616,22.70606981,24.64988139,27.34391415,36.16057946,30.58227752,34.01019783,39.48739921,40.33381904,38.56505382,37.82721768,37.22168395,33.83564983,34.7137748,38.12194886,36.28554775,32.82470688,35.86823737,38.89637252,35.97242926,36.7964388
El Salvador,SLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.26445141,16.22996356,16.46324137,17.09211073,17.9659035,18.38701181,18.33258226,16.65239965,16.34757198,16.56795924,17.51728691,16.73026648,17.00525892,18.3962428,18.73796431,18.95584433,19.99589997,20.50306406,20.7477895,19.31237011,20.62442778,20.80538203,23.5747792,24.0373317,23.59084284,23.47544014,24.35743747,25.56379931,24.89983994,24.71075435,24.5263266,25.5579723,25.97649833,25.83807009,26.81224048
Equatorial Guinea,GNQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0315861,21.68447847,25.03794992,19.45229287,40.62567411,52.74607124,48.48093257,37.2711838,38.37133814,22.53184166,18.08546201,16.58753544,17.96620566,27.43564154,18.49486137,19.97800662,28.38541611,28.84865252,21.76216283,24.7053841,32.66875371,39.88759507,36.84891604,34.50643462,33.37252018,26.64585391,28.32707657,27.96091093,24.87031319,24.0569326,26.47369179,16.90155746,17.47956642,19.57591548,18.62291735,14.3945625,15.36739254,26.46877472,21.62870564,17.91352746
Estonia,EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.27034613,37.70562542,38.78462967,39.55095317,37.23551317,36.25407858,35.68352183,36.1586229,36.71390395,36.36701354,34.77728667,36.20082874,36.34711715,36.62763988,42.66874872,39.60873715,37.7075893,38.53576269,37.64237428,37.96882893,39.0138947,38.28570149,37.79143531,37.67543962,39.01105596,39.31502218,39.52800519,39.04294562,40.3672654,42.10667295
Eswatini,SWZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.16590395,19.4951294,24.10886506,22.60408758,23.47246363,20.94264663,17.42473751,18.99058893,18.83585162,21.65264007,23.69788248,22.86208935,21.96497536,19.8020614,19.9722759,20.73923395,21.52931633,22.70654548,23.08176165,24.54631393,23.52617023,23.32807287,22.79166142,23.75612186,26.98995074,27.31660259,36.22881072,32.75086077,34.99762846,30.85647977,21.71434564,21.25540238,30.44742924,29.3693016,31.51194123,28.58065884,25.61530772,27.97618996,24.97350173,26.55273368,28.12348794,24.80055248,23.67830672,30.80071473,31.50059941
