"Government primary balance, percent of GDP (% of GDP)",Country code,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Equatorial Guinea,GNQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-83.50167715,-90.82220143,-152.3186954,-202.1340845,-69.19786004,-153.6831146,-229.1600315,-549.8397374,-210.7370926,-479.8993558,-117.6795492,-2.728253108,4.578491264,-5.935837432,0.898682142,-2.218995327,15.48609631,17.86710483,10.01689868,9.298921012,18.59738099,21.81619546,17.17389156,14.64248454,-6.426285306,-4.290866796,1.110391491,-6.960117531,-4.055125731,-7.075530612,-14.7066184,-10.50694593,-2.167077049,1.16638178,2.685520473,-0.432630467,3.688518828,12.68675287,3.474647784,0.541503585
Estonia,EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.167564193,-0.525518881,3.361151335,1.043643364,-3.079871059,0.172907284,0.63829201,0.552874045,1.895137606,2.504757138,1.253715542,2.874274491,2.672284077,-2.710656469,-3.236658237,-0.992249433,0.18607138,-0.740362789,-0.580305303,0.491870254,-0.175782654,-0.574163954,-1.023951838,-1.105912405,-0.071820374,-5.353756055,-2.50572671,-0.967875038,-2.767088724,-0.924363935
Eswatini,SWZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.609629428,-3.864364053,1.141240297,0.451911219,2.344490633,0.031953729,-0.935707314,3.162846218,4.204513645,6.720359877,6.099765648,3.840929618,-2.172386695,-2.71764136,-3.006192353,1.314425954,-0.45950687,2.530142813,1.56621801,-0.530596141,-0.667245969,-1.471402104,-2.576618992,-1.050294889,-3.033828781,-0.658340132,9.366595139,3.07798011,2.507189363,-2.308434138,-8.702750055,-3.124125508,4.268575841,1.357896801,-0.331253309,-5.17824014,-7.468364749,-4.482396402,-5.27560664,-4.22987959,-2.117926641,-2.72783627,-3.178471804,2.131937814,1.610717058
Ethiopia,ETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.030534424,-1.550182989,-2.736154026,-6.736734352,-2.558635667,-3.332318872,-2.723990182,-2.525999091,-2.35349068,-3.288027309,-5.961747644,-5.060019912,-3.882330503,-2.722592596,-3.00891435,-1.015234424,-2.227816665,-0.118893651,-2.08659241,-6.799629115,-7.209058439,-2.185322826,-4.266153143,-3.945214535,-1.416166956,-3.18032541,-2.993503574,-2.871179977,-2.42933852,-0.55117313,-0.909447288,-1.235792193,-0.873493595,-1.592395424,-2.224645109,-1.535829827,-1.839271191,-2.793340968,-2.503159635,-2.030734343,-2.364788726,-2.214166788,-3.533217001,-1.973933412,-1.402610267
Fiji,FJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72379103,0.857665691,2.494910872,3.498277591,-0.847495317,-1.531667031,9.404618284,3.496013729,1.081677135,-1.995294381,-1.167604701,-1.03016662,1.41563732,1.172507499,1.719936949,3.431469444,4.360298797,0.38758576,2.074240058,2.974422991,2.730822421,3.139769709,-0.491980055,-0.862821428,-2.851914977,0.28634443,-2.267856866,-0.86660332,-4.946266779,-10.11546101,-8.564067973,-3.271427807,0.493291057
Finland,FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.62593681,-6.205060601,-0.981809378,-1.241650343,1.971169949,-1.274209261,1.082089663,-1.747970462,-1.67969048,1.307420373,-0.757110834,-0.000372648,-1.039583027,-1.200519681,-0.662839413,0.057079911,-1.721810102,-2.224359751,-2.612570167,-2.649320245,-0.603091836,-9.128844142,-35.50876033,-34.25613236,-14.8298192,-11.9406805,-19.24841952,-4.791020393,,,2.756049275,0.135211229,0.530105472,1.666631997,-0.588893592,0.597321451,0.376255274,-0.513514012,-0.672086388,0.583400726,-1.218313992,0.306250006,-0.129638165,-2.668504685,-2.020321488,-2.0934847,-0.817381203,-1.082692564,-0.447527587,0.43768549,-1.050116718,1.558513105,1.614886999,0.673975945,0.310646862,1.841743082,0.217492849,5.53,8.25,6.99,4.6,4.3,4.66,6.14,4.24,2.94,4.81,5.06,5.46,3.23,6.64,8.13,6.69,0.93,-2.84,-3.77,-2.47,-2.09,0.81,2.84,5.05,4.57,9.57,7.52,6.09,4.24,3.9,4.26,5.46,6.53,5.57,-1.15,-1.21,0.469504945,-0.637794568,-1.175447304,-1.690996089,-1.206515947,-0.551185118,0.412984077,0.105215498,-0.080497069,-4.864057668,-2.183997685,0.383264133,-1.811092299,-2.832263746
France,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.156099558,4.008469343,3.220820189,3.112709999,3.253850698,3.163400173,3.274320364,3.778249741,3.994709492,3.638870478,3.729979992,3.610519648,3.394010305,3.133150101,3.252549648,3.265069723,3.098260403,2.955239773,3.084639788,2.922870398,2.889740229,2.443630457,2.371390343,2.690979242,2.975439548,2.70065999,2.375420094,2.395450592,2.105820179,1.982510328,1.913789988,2.157939315,1.910449386,1.720730782,,,,,,,,,,,,3.806450844,5.07681036,4.782459736,5.412080288,5.669261456,2.770180225,2.051819801,1.825339556,-0.583768845,0.980120659,0.34210062,-1.902069092,-3.836539984,,,,,,,,,-6.965380192,-6.505220056,-8.248535991,-6.481296301,-4.627426744,-3.479998469,-5.92514205,-3.830117166,0.382669568,0.040421247,-1.476700068,-0.796259761,1.273069382,1.76030004,-0.860219359,-0.339909554,-0.455050349,-1.310646296,0.534442008,0.699388325,0.130070567,0.08991009,-1.689328551,0.360212326,0.718160272,0.438174844,2.514940023,2.510255277,3.651170611,0.612757742,1.821390569,1.822027147,-0.701920629,0.770090699,0.941443324,-0.699219942,-1.169727683,-0.376941204,-0.480801344,-0.56256938,-0.755341053,0.33626008,-0.332792044,0.543432236,0.177301884,-0.200948477,-1.636918545,-3.223629951,-2.151091814,-2.02694869,-0.455031157,0.138447762,0.680739403,1.18206048,1.35574007,1.363910913,-0.333010197,-1.270022869,-0.848770618,-0.264340401,0.219511271,-0.046068907,-0.41473937,-5.136032104,-4.64048028,-2.583955219,-2.537634913,-2.604661867,-2.374426171,-1.856371531,-1.861530886,-1.574961786,-0.551244118,-0.875862951,-7.648071239,-5.196168258,-2.819049908,-3.570484672,-3.709860729
Gabon,GAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.397006864,3.63643822,1.072869216,1.209056623,4.77733052,10.64639012,8.11615222,7.298009555,-5.95938571,7.522528335,16.65028021,12.32248572,7.811505426,11.49949315,10.67291035,10.56624154,10.86834802,10.054579,12.64154617,8.20243665,4.058732786,2.511689164,7.273253902,-1.513752957,7.595404476,0.909043343,-2.385646275,0.827057385,2.196451862,4.401650544,1.172511053,0.934657933,1.680069092,4.79326929,-0.754831571
Georgia,GEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.725344966,-4.461021782,-4.856707735,-1.501871474,-2.133692963,0.813091472,1.00485185,1.72746583,1.367246593,4.986852736,3.149808762,4.014526395,1.367416758,-1.307462839,-5.438773602,-3.546491067,0.295715894,0.199207946,-0.433102271,-0.995618244,-0.208385686,-0.38763086,0.713131741,0.344227687,-0.596346995,-7.612449631,-4.655262568,-1.154457233,-0.851019567,-0.680388097
Germany,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.823855042,1.257409573,1.607839584,1.952960134,1.761199236,1.855369806,1.889909506,2.613609791,2.317840457,2.80175972,1.94701004,3.154009461,1.670541286,2.369789243,2.419438839,2.377820134,2.419800758,2.061719656,2.09784019,2.001708508,1.781749606,2.506530404,1.728919148,2.436689734,1.974250436,2.704109669,2.239641309,1.336650372,1.470309377,1.655020952,1.56864953,1.892690063,1.251319766,1.553431273,,,,,,,,,,,,0.376078725,-1.160484359,-0.309561983,-1.285667256,-0.606259316,-1.177455306,-0.607861996,-0.609904081,0.489820004,0.245106339,,,,,,,,,,,,,,,,2.001783282,1.373106167,0.274269998,0.123638958,0.353994727,-1.063584566,0.915056974,2.309604526,2.131447941,1.176891744,0.1105344,0.73129797,1.258885801,2.452259421,2.48962009,3.29069972,2.906889915,4.128340364,3.028770447,1.084040523,1.47692287,1.138057053,0.681699753,2.271049976,-0.414080024,-4.340780735,-1.85573864,-0.92443943,-1.024001122,-0.917639017,-0.909178257,-1.502079964,-0.66848135,0.061878204,0.956230402,1.813060999,1.60765934,0.892360687,0.69732976,2.78436017,0.750627279,-0.169408083,0.671519041,0.200423002,0.882566929,-5.983222723,0.140797138,0.63944006,1.03888154,1.55678153,4.336898088,0.015212059,-0.882692099,-1.133798838,-0.884838343,-0.490092993,1.205677748,3.049179792,2.706348181,-0.517159462,-1.781317472,1.634782355,2.238575634,1.933172393,2.324667361,2.304869081,2.319878819,2.371958921,2.808769871,2.120301475,-3.730844577,-2.576459534,-1.206199444,-1.621141845,-1.604700425
Ghana,GHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.82866016,-5.359283417,-3.142148972,-2.744608104,-0.640690863,-1.469757259,-2.151075244,-1.84632051,-1.51360184,0.900242388,-1.231359661,-1.683110118,-1.185618877,-3.213659644,-4.63333714,-3.733490825,-0.437346995,-2.713481426,-4.048034991,-3.196481282,-1.021444859,-0.627683881,-0.447224083,-0.604089158,-0.417537147,-0.381819833,-0.639455096,-0.30582049,-1.399523661,-0.817970696,-3.710058647,-3.95880804,-3.198624251,-2.773745683,-3.482874745,-3.602807112,-2.460602114,-3.393684548,-0.958703951,-1.177716754,-0.892542781,0.518505557,-0.249616121,-0.39307183,-1.719464007,-3.624095848,-3.994336142,-3.068845085,-4.913482503,-3.488977339,-5.743167275,-5.584584045,-3.34975329,0.937615863,-1.495696812,1.198155717,-1.351026262,-1.974513726,-11.1666313,-4.771057551,-4.323024165,-0.318624379,-3.305259311
Greece,GRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.713641167,-9.437570572,3.99052,3.312839031,-1.52011919,-6.324340343,-5.865029812,1.291460991,3.668789387,-8.429891109,-5.80411005,-0.129859447,3.736800194,6.051189899,7.292878628,4.046429396,4.934909344,-4.837930202,-29.92052174,5.718410492,6.304400444,5.36218977,4.391718864,4.865210056,5.521848679,6.05767107,5.867918968,3.155739784,3.129811287,1.543059349,2.787990093,-1.022319317,-3.890890121,-6.423719645,,,,,,,,,,,,,,6.865540028,4.348040104,-14.66814089,2.111320972,1.065600395,1.127459764,2.999299049,6.316009521,6.129079819,6.042740822,5.488139629,,,,,,,,,,,-7.61889763,-10.27247131,-12.66045423,-11.37648937,-7.101490915,-2.928765997,-2.742825657,-3.457681797,-0.200269669,-2.375322938,-2.133557186,-2.545134112,-2.942724884,-2.285798639,-1.885456502,-1.589166999,-2.124177217,-1.916415036,-1.576752543,-1.964751303,-2.695537865,-5.914868891,-2.391180396,-2.43546313,-3.287569821,-2.843125701,-3.277459979,-4.096440077,-3.705549002,-3.958159924,-3.954661012,-0.534401233,-0.482073431,-4.407597916,-3.326984675,-3.094514194,-3.395297998,-5.125812335,-3.865664204,-2.102943753,-4.37778929,-6.714477808,-6.119252904,-3.212083129,-2.593144205,-2.745873325,1.158709441,0.97745213,2.148730282,2.345467169,1.479937433,1.859825287,2.893629022,0.845775227,-0.468212229,-3.014428821,-4.145994922,-1.527929378,-1.554371021,-2.240900757,-5.433630706,-10.31441269,-5.315521008,-2.833271901,-1.516951122,0.105269718,-0.277046069,0.550857679,3.497119807,4.192453948,4.143604349,2.885807184,-7.381562027,-5.128565896,0.031753027,2.032887664,4.798937928
Grenada,GRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.060529785,-1.884736162,0.608669381,1.923201156,-0.935770763,1.115268274,-1.276594281,-3.109731989,-1.172977392,0.063776,-0.350529646,-4.068340457,-10.34765144,1.09986549,3.112221553,2.491331345,-3.762617111,-4.239958908,-2.007242301,-2.17872586,-1.909773978,-2.402431727,-2.031263546,-3.93856629,-0.654480804,2.540297221,5.561187345,5.680418691,6.923143671,6.806454218,-2.561362378,2.115133379,2.555724739,9.419802483,9.957412412
Guatemala,GTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.531327238,1.203885211,-0.001040502,-1.13752756,-1.568781388,-0.575351682,-0.525963855,0.291488003,-1.23216168,0.262499813,-0.311593196,-0.541462029,0.044600881,-0.246925161,-1.708903308,-1.800251046,-1.321590998,-0.87572136,-0.586193228,-0.449602234,0.127971149,0.428593951,0.135848394,-0.341891521,-0.604709301,-3.188021013,0.564543598,-0.039093296,0.381203564,0.650437897
Guinea,GIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.812190703,-1.566068607,0.295644246,-1.380650558,-1.450575634,-0.039669299,-1.226627213,1.24802841,3.49681933,-0.179494189,-1.148072438,-2.02289982,-2.048767576,-3.038775631,-1.845633876,0.948937292,0.340022091,2.847308546,2.101875829,-3.440058298,-8.267050594,0.548012219,25.02261826,-3.004930101,-2.045998323,-5.707209908,1.012026491,-1.07425893,-0.151066651,0.298223623,-2.329252148,-1.145840723,-1.249318626,-3.004692029,-3.770746786
Guinea-Bissau,GNB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.805228432,0.810334524,1.596406751,-2.690154229,4.228897171,5.411206596,-0.445192918,-3.574033875,-1.597634013,0.365357183,2.220176061,-1.587618869,-3.494537627,-3.27315381,-3.054146764,-3.652895906,-7.070497662,0.987425139,3.838725422,-0.078998278,-1.236369674,-2.098196172,-1.604104928,-1.95609927,-2.486285806,-4.654306188,-0.845441816,-4.138411138,-2.801111951,-8.124986877,-4.275573269,-4.698068869,-5.525632696,-3.92848395
Guyana,GUY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.771843735,1.172631238,3.100992144,2.123080342,0.436549833,1.240871512,-2.120149569,-0.52760984,-4.413963658,-4.30079609,-1.976509016,-1.484192353,-1.500640214,-0.797125531,-1.15007714,-2.480379308,-1.616193982,-3.307160359,-0.157548233,-2.615064004,-2.463289495,-1.914413491,-1.967638685,-7.262669084,-6.46639799,-4.819782956,-5.434139941,-7.023604724
Haiti,HTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52000016,0.650000215,0.119999945,1.280000031,0.25999999,0.160000056,,-0.040000021,0.800000101,0.360000014,-0.899999768,0.089999944,0.210000068,0.159999833,,0.159999907,0.450000107,0.129999965,,,,0.675568998,0.696837172,1.231297955,0.395234153,-0.006514907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.767250652,0.58842899,-1.073082663,-0.967038158,-1.204416042,-1.531674749,-1.701195197,-0.926558028,-0.224901693,-0.426037438,-1.129077532,-1.414065523,-1.655873965,-1.206649169,-1.214034677,-2.510940627,-3.772963421,-3.409681273,-1.374835366,0.294057412,-0.176127592,-0.946654509,-1.721409286,-1.707413231,-2.100044447,-1.450120152,1.052679325,7.189155595
Honduras,HND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.920561023,-2.832035065,-0.327864587,-1.686961561,-0.838915512,-0.951426446,-1.063839167,-0.909034133,-0.744411051,-0.361273527,-0.036621779,-1.291029453,0.560548127,-0.081864387,-0.367867827,-0.007685125,-1.758207113,-2.766222566,-2.85620749,-1.614153564,0.050294518,0.433194935,-1.104244292,-0.305355191,-1.997892916,-0.137636483,-1.040083051,-2.032576054,-2.007698745,-5.647385895,-8.549038112,-8.764565349,-8.01569432,-5.324056923,-2.623835504,-2.047955751,2.679065645,1.322869778,7.099959373,7.382940292,5.633359909,0.495890141,2.383029222,0.869719267,0.832639456,5.288071389,3.783938924,3.46711859,-1.534454722,-3.633733989,-3.693859418,-1.17213217,1.14033288,-0.32627134,0.459931648,0.354699111,-4.238211888,-2.648786816,-1.919054501,-2.26443559,-3.795323188,-0.911009727,1.245828666,2.114182962,1.800450352,2.401997395,2.263229979,-1.976059837,-0.713030137,3.799319136,0.530151631,1.152156823
Hong Kong SAR,HKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.001175182,4.054111516,7.383565767,0.292349342,1.569329817,4.16784744,3.799410443,3.170757202,1.034087812,3.606206125,0.598246914,4.390455152,5.495473331,2.352582879,-0.577683243,-9.222225873,0.024261291,-6.53643103,-5.524851117,-5.622135871
Hungary,HUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.221599936,0.112978987,-0.17417787,-0.221453041,-0.115312032,0.072696939,0.133734986,0.140272178,0.181149028,0.046548139,-0.04483097,0.338573202,0.087432966,0.35661912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14857098,4.654875773,2.886655181,-0.361219378,1.417996839,2.241457851,0.703293774,-4.794529109,-3.158221453,-2.264096403,-3.726010169,-5.421485753,-1.05333184,0.274183828,-0.248343279,-0.337977419,-1.078956393,2.232386022,1.912674819,1.187521281,1.435484448,1.287398068,0.188067376,0.275296088,0.188522655,-5.17720684,-4.871700569,-3.343379943,-2.071829647,0.040875467
Iceland,ISL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.226189286,-1.732466966,1.076753318,0.193950683,1.593626559,2.954922616,3.612048298,0.584539682,1.429303378,1.728303611,0.077856407,1.365337938,2.336674586,2.593047097,2.560320064,1.837811217,2.426898271,1.990118966,-0.223906398,0.334618628,1.905940175,1.009751588,-0.459246904,-0.393119514,0.846351027,-0.164207458,0.722378671,-0.088446975,-2.861376226,-2.737209678,1.087509871,-0.184640765,0.369209528,0.999451995,3.076672273,3.295108733,3.908652204,1.263578878,5.306881208,1.673371292,-0.971759785,1.843936488,1.526335111,-0.492771944,0.844621421,3.273179365,2.039615288,-0.340235341,-0.431638149,1.619529426,2.551329148,3.713997404,3.333230003,8.836453882,8.236995225,8.927331629,3.327173403,4.039724275,6.668244652,10.2996546,12.45536996,11.7777991,-0.556619334,3.480580664,1.394351616,2.217538741,6.24045384,6.802531545,7.020477678,6.316289412,18.35611953,6.595555629,5.798154849,2.685042673,-4.750614282,-4.354267821,1.731072783,3.037592829,0.560898449
India,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.771967113,0.77936095,0.50997889,0.462501287,0.745693088,0.228167832,0.413358331,0.21855098,0.560673237,0.798749983,1.086444795,0.946638346,0.378609955,0.484858572,-0.163639903,-0.004872978,-0.268689096,0.404189825,0.015337795,0.11278522,0.770442307,0.057587624,0.007881522,-0.436206937,-0.698362231,0.113063157,-0.422710776,-1.039386094,0.395697594,0.032860339,0.242049932,,,,,,,,,,,,,,,,,,,,,,-0.144261837,-0.298466682,0.175112009,0.883320689,-4.690790415,0.36376816,-0.276420951,-0.658757031,-0.557167292,-0.075954974,0.498509765,0.819620132,0.500410199,0.289880037,0.2106601,0.382730126,0.446050048,0.802410126,1.510310411,2.251479864,2.230439901,2.028789997,1.723350286,1.509019852,1.762319684,1.661519766,1.221610069,0.842419863,0.722499728,-2.855781078,-2.896992147,-2.63408339,-3.383990288,-1.786340356,0.030661047,-0.020024121,-0.034218311,-0.37051928,0.147899866,0.740821779,-1.168262184,-1.833711922,-2.025334954,-2.216948032,-2.576667368,-4.271663129,-4.352124453,-3.299303293,-2.957539558,-2.20489049,-3.062730789,-3.335850358,-3.322990179,-2.966599703,-3.675150156,-2.6487602,-1.38836062,-1.073160052,-1.630849957,-1.828430295,-2.303069711,-1.119029999,-1.848680258,-2.697049618,-2.600310087,-2.862749219,-3.146490812,-4.89682889,-3.613559484,-3.948820353,-4.254370689,-5.092880011,-5.81779933,-6.323239803,-4.845759869,-2.562305636,-3.522436708,-3.715661132,-3.2230106,-3.105647662,-3.663279261,-2.908214526,-1.922570879,-1.694428672,-3.232217901,-4.522400271,-3.169435587,-2.612071649,-4.912121422,-4.719491216,-5.118154505,-3.197300575,-1.879492749,-0.956864404,0.694307423,-4.034826945,-4.709762331,-4.238238542,-3.771397715,-2.981831676,-2.244506798,-2.383074296,-2.499476542,-2.413275487,-1.41699226,-1.606326537,-2.939882852,-7.170006105,-4.169644359,-3.778525515,-2.412798018,-2.787146106
