Model,Scenario,version,Region,Country code,Unit,Variable,Type,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
OECD ENV-Growth 2025,SSP1,1,Belgium,BEL,USD_2015/yr,GDP|PPP [per capita],ANNUAL,51820.45484,55574.77824,58980.44349,62261.75094,65388.39456,68354.03661,71447.99565,74908.24242,78685.59839,82411.24209,85960.31376,89355.21267,92722.99347,96160.63151,99567.95443,102864.2122
OECD ENV-Growth 2025,SSP1,1,Belgium,BEL,USD_2017/yr,GDP|PPP [per capita],ANNUAL,55471.89214,59490.75734,63136.39681,66648.91582,69995.8729,73170.48369,76482.45313,80186.52011,84230.04083,88218.20547,92017.35624,95651.47073,99256.55629,102936.4215,106583.8354,110112.3582
OECD ENV-Growth 2025,SSP1,1,Belize,BLZ,USD_2010/yr,GDP|PPP [per capita],ANNUAL,10961.08033,11777.52855,13436.83615,15969.90321,19363.68105,23435.19182,28143.3204,33582.29866,39801.79329,46650.89065,54070.4989,61912.95026,70138.97872,78738.00948,87711.10924,97044.48511
OECD ENV-Growth 2025,SSP1,1,Belize,BLZ,USD_2015/yr,GDP|PPP [per capita],ANNUAL,10160.26281,10917.06125,12455.13969,14803.14064,17948.96877,21723.01459,26087.16687,31128.77289,36893.87068,43242.57237,50120.10337,57389.58452,65014.6186,72985.4034,81302.92768,89954.40626
OECD ENV-Growth 2025,SSP1,1,Belize,BLZ,USD_2017/yr,GDP|PPP [per capita],ANNUAL,10241.55,11004.4032,12554.78703,14921.57317,18092.56949,21896.80957,26295.87725,31377.81864,37189.04009,43588.53457,50521.08925,57848.72989,65534.76805,73569.32312,81953.39175,90674.08649
OECD ENV-Growth 2025,SSP1,1,Benin,BEN,USD_2010/yr,GDP|PPP [per capita],ANNUAL,3336.307073,4055.267734,5101.422711,6353.094772,7848.533085,9581.120827,11612.59057,14057.068,16943.1795,20278.81581,24059.51868,28321.38988,33087.14444,38463.86311,44471.08536,51135.82051
OECD ENV-Growth 2025,SSP1,1,Benin,BEN,USD_2015/yr,GDP|PPP [per capita],ANNUAL,3739.916059,4545.852822,5718.566158,7121.658962,8798.007582,10740.19473,13017.42106,15757.6186,18992.87677,22732.04093,26970.11346,31747.56355,37089.85419,43117.02016,49850.96476,57321.96472
OECD ENV-Growth 2025,SSP1,1,Benin,BEN,USD_2017/yr,GDP|PPP [per capita],ANNUAL,3816.525169,4638.970884,5835.70629,7267.540298,8978.227544,10960.1988,13284.07224,16080.40047,19381.93026,23197.68812,27522.57409,32397.88632,37849.6094,44000.23692,50872.12084,58496.1581
OECD ENV-Growth 2025,SSP1,1,Bhutan,BTN,USD_2010/yr,GDP|PPP [per capita],ANNUAL,9746.056243,11519.98692,13460.04606,15717.30873,18352.48259,21226.52702,24421.96554,28027.80379,32113.02796,36459.24571,40983.51608,45600.69089,50184.2464,54816.90312,59508.31875,64287.83574
OECD ENV-Growth 2025,SSP1,1,Bhutan,BTN,USD_2015/yr,GDP|PPP [per capita],ANNUAL,11481.98457,13571.88065,15857.49532,18516.81253,21621.35296,25007.31063,28771.9078,33020.00345,37832.87131,42953.21988,48283.33509,53722.9025,59122.86249,64580.66938,70107.70109,75738.52642
