Net lending/borrowing (also referred as overall balance) (% of GDP),Country code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Bolivia,BOL,-4.400000581,-4.200000009,-4.399999998,-6.099999932,-3.000000017,-1.816584448,-1.900000016,-3.280902657,-5.1,-3.836567058,-3.728130401,-6.819600146,-8.788018921,-7.875395133,-5.543419582,-2.244734708,4.469895705,-1.540037581,3.527628866,2.63013476,1.623823975,0.831387469,1.715440294,0.595398383,-3.410162331,-6.934919635,-7.243425006,-7.855016811,-8.172229794,-7.249327147,-12.72208399,-9.329100622,-7.121846372,-10.94492428,-10.61816195,-13.11699083,-14.1463631,-15.53332644,-16.71549934,-17.97792487,-18.85422486
Bosnia and Herzegovina,BIH,,,,,,,,,-0.977899325,-2.782004805,-4.625059175,-3.443100949,-2.987729876,-0.442403367,-0.183507254,0.740048196,2.081697704,0.168840378,-3.822738519,-5.341506098,-4.057752111,-2.727537372,-2.68184621,-1.280033091,-2.86645666,-0.194224025,0.341746864,1.789494495,1.631880191,1.367679992,-4.501582664,-0.17668334,0.149044573,-1.670973721,-1.880979882,-2.47373126,-2.732239788,-2.695629313,-2.607362164,-2.57162471,-2.552484409
Botswana,BWA,,,,,,,,,,6.184570976,8.948543416,-2.964400734,-4.02249122,-0.180257435,1.41829536,10.71121397,13.71568278,5.918588916,-7.59126934,-14.41982371,-8.355128684,-0.11670365,0.915195726,6.070143283,3.884206387,-5.062025462,0.716520386,-1.155323968,-5.073155835,-8.431340837,-11.45466137,-2.455349683,-0.006031468,-4.247992112,-7.820594217,-10.3328336,-8.999280914,-7.480685963,-6.969284943,-6.461883612,-6.750217792
Brazil,BRA,,,,,,,,,,,,-3.4680444,-4.148522543,-5.400685773,-2.954995307,-3.36357468,-4.868438831,-2.660190209,-2.392971338,-4.230458677,-3.553745056,-2.741326509,-2.351326054,-3.422132665,-6.274931659,-9.281377059,-7.990614069,-7.969671334,-6.990138178,-4.858526203,-11.63688809,-2.630748878,-3.964695646,-7.712440135,-6.190123751,-8.404364766,-7.54053594,-6.007386817,-5.130110366,-4.797113726,-4.624772283
Brunei Darussalam,BRN,-1.625940897,-1.060537545,-8.282163266,-12.77183236,-22.55016687,-19.79362405,-8.703672178,-11.79260604,-23.99687994,-18.25492547,6.859546083,2.585291607,-4.613498703,8.060858758,8.565276269,16.00927015,19.78013926,3.118779324,36.14025684,3.610009678,7.612424974,25.63174642,15.78602258,13.02531938,3.575748697,-14.52268376,-21.68043644,-10.39666507,-3.587102646,-3.688965868,-15.77246908,-8.164442898,2.531329158,-10.86193879,-10.19841266,-11.07399919,-11.45954356,-10.93448829,-10.79241541,-9.989285876,-9.34967378
Bulgaria,BGR,,,,,,,,,1.083645458,0.150669235,-0.604752803,-0.580088456,-0.61432026,0.002552001,1.593250814,2.187148295,3.22108651,3.086315595,2.731505396,-0.855506206,-3.769372639,-1.83379143,-0.434166634,-1.751551412,-3.651850699,-2.77458465,1.539685331,0.823442885,0.123103238,-0.961117571,-2.916552051,-2.801106684,-0.800242614,-3.033706735,-3.038250519,-3.411806343,-3.481790532,-3.622885934,-3.329754886,-3.140048164,-3.13784884
Burkina Faso,BFA,-7.535957507,-2.771556458,-2.509119285,-3.810411981,-1.88707663,-2.645588122,-1.666069792,-2.642848881,-2.597693741,-3.286904208,-3.027830265,-3.557443584,-4.432617637,-1.789912827,-4.194054415,-4.889532822,14.34567379,-5.014919427,-3.62731448,-4.160443428,-4.058343741,-2.039418509,-2.76326957,-3.547978636,-1.737416156,-2.089716888,-3.082403548,-6.918727722,-4.434287455,-3.38674105,-5.159541865,-7.449626809,-10.88904516,-6.911613532,-5.83599488,-4,-3.5,-3.044,-3,-3,-3
Burundi,BDI,8.13862794,4.141386075,-4.163913299,-1.219058588,-1.76155127,-3.716604581,-8.614674504,-4.481088531,-4.433695207,-5.3272575,-5.662044463,-7.778622264,-4.897835293,-13.70158606,-14.86524542,-10.55558277,-9.92376714,-2.510488923,-2.704250223,-5.144892602,-3.637291735,-3.490980521,-3.79388297,-1.89891993,-3.929128776,-7.559298915,-7.111496679,-5.006278457,-6.658993932,-6.40221782,-6.578815234,-4.599241326,-10.73081863,-7.697430382,-4.838952807,-5.138901628,-4.82645633,-4.888285489,-5.003458898,-4.597074078,-4.985888155
Cabo Verde,CPV,,,,,-12.77862642,-11.13079032,-11.21529214,-10.18217515,-3.161684686,-10.87090593,-15.53180867,-5.028808702,-6.13897267,-3.626661306,-2.978997075,-4.692836845,-4.315976661,-0.863493283,-1.4150242,-5.319511338,-9.596677752,-6.975537967,-9.363887359,-8.489741221,-6.933502566,-4.156998755,-2.728432,-2.634577724,-2.363837441,-1.61721658,-9.293278106,-7.512191976,-4.250894892,-0.277533998,-1.066138479,-1.583834039,-0.890471812,-0.373512949,-0.102941972,-0.046073384,-0.084516476
Cambodia,CAM,,,,,,,-7.530830607,-3.704172493,-5.354178111,-3.792611002,-4.763127153,-4.945723235,-6.073134689,-5.69372479,-3.231311516,-0.342183455,-0.150161656,0.619924486,0.427785527,-3.977641061,-3.090013578,-3.756878699,-3.567304765,-2.011461246,-1.244786943,-0.647250351,-0.292037206,-0.763289179,0.277744444,2.188012372,-2.528222172,-5.17721008,-0.293580938,-2.828257727,-2.674266656,-3.69823979,-3.837030122,-3.541282223,-3.318532626,-3.274155012,-3.195456957
Cameroon,CMR,,,,,,,,,,,1.544522093,0.861348195,1.506626734,0.560200735,-0.455788725,3.029455591,28.21389827,3.873770577,2.000034814,-0.04070747,-0.932373992,-2.258001678,-1.395956958,-3.554624394,-4.087364833,-4.24571325,-5.881134409,-4.72473822,-2.407988286,-3.243734199,-3.188162803,-3.007532748,-1.111692555,-0.634921749,-1.481009919,-0.839100103,-1.153681036,-1.170317854,-1.066083754,-1.171086985,-1.229152655
Canada,CAN,-5.911422126,-8.359398267,-9.199149263,-8.934764945,-6.935977535,-5.489640113,-3.05256596,0.038702165,0.142682776,1.655576247,2.639703961,0.529468967,-0.233895789,-0.126957865,0.767669538,1.553120098,1.827604363,1.819655807,0.184425129,-3.881351769,-4.737558582,-3.308732553,-2.524517007,-1.494705998,0.17489616,-0.061845591,-0.453164226,-0.112442955,0.359891308,-0.01728935,-10.9490675,-3.05712003,0.555641297,0.071954217,-2.013998423,-2.21965749,-2.426635565,-2.129551201,-2.044719111,-1.668759689,-1.461524751
Central African Republic,CAF,-6.59760348,-7.996194502,-7.326653765,-5.663068802,-7.573890851,-4.840336162,-1.059028696,-1.565362105,0.000947647,-0.49596201,-2.008457305,-0.876156961,-1.189831433,-3.063012966,-1.737740792,-4.366567234,8.583724637,1.043556485,-1.230862628,-0.543521079,-1.347029142,-2.148959178,-0.776164769,-2.303628503,-3.016623017,-0.534997447,1.167546974,-0.995493505,-0.929751245,1.326308846,-3.23719749,-5.801617231,-5.227725383,-3.436032816,-5.084700447,-2.455124241,0.029310777,0.311889867,0.667644054,-1.948723164,-1.253551367
